Qualtiy,Exchange rate,Price
1," 2,587.23 "," 2,250 "
1," 2,753.23 "," 2,250 "
1," 2,814.02 "," 2,250 "
1," 2,805.32 "," 2,250 "
1," 2,582.18 "," 2,100 "
1," 2,461.19 "," 2,100 "
1," 2,414.19 "," 1,900 "
1," 2,327.97 "," 1,900 "
1,"2,485.02"," 1,500 "
1," 2,506.21 "," 1,600 "
1," 2,479.05 "," 1,500 "
1," 2,484.36 "," 1,500 "
1," 2,474.47 "," 1,750 "
1," 2,492.04 "," 2,000 "
1," 2,515.88 "," 2,000 "
1," 2,579.43 "," 2,150 "
1," 2,622.95 "," 2,250 "
1," 2,673.48 "," 2,100 "
1," 2,683.79 "," 1,800 "
1," 2,657.55 "," 2,000 "
1," 2,636.90 "," 2,250 "
1," 2,578.01 "," 2,230 "
1,"2,586.11"," 2,250 "
1,"2,593.08"," 1,900 "
1,"2,588.90"," 1,900 "
1,"2,578.87"," 1,900 "
1,"2,568.86"," 1,900 "
1," 2,534.39 "," 1,400 "
1," 2,523.00 "," 1,400 "
1," 2,512.14 "," 1,250 "
1," 2,499.90 "," 1,400 "
1," 2,471.96 "," 1,550 "
1," 2,534.20 "," 1,600 "
1," 2,529.80 "," 1,700 "
1," 2,532.40 "," 1,350 "
1," 2,580.96 "," 1,600 "
1," 2,633.50 "," 2,150 "
1," 2,612.50 "," 2,100 "
1," 2,618.80 "," 2,350 "
1," 2,680.51 "," 2,350 "
1," 2,734.20 "," 2,150 "
1," 2,768.80 "," 2,100 "
1," 2,860.70 "," 2,100 "
1," 2,868.58 "," 2,100 "
1," 2,951.74 "," 1,900 "
1," 2,995.60 "," 2,100 "
1," 3,007.60 "," 2,200 "
1," 3,199.90 "," 2,250 "
1," 3,360.09 "," 2,200 "
1," 3,548.25 "," 2,200 "
1," 3,667.50 "," 2,150 "
